,Year,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
34,2017,Bronxdale,Pizza Place,Donut Shop,Bank,Italian Restaurant,Coffee Shop,Pharmacy,Sandwich Place,Deli / Bodega,Supermarket,Chinese Restaurant,Diner,Ice Cream Shop,Bakery,Smoke Shop,Park,Spanish Restaurant,Mexican Restaurant,Burger Joint,Gym,Grocery Store
35,2017,Brooklyn Heights,Park,Pizza Place,Coffee Shop,Yoga Studio,Italian Restaurant,Grocery Store,Middle Eastern Restaurant,Ice Cream Shop,Wine Shop,Burger Joint,Pier,Scenic Lookout,Gym,Bagel Shop,Café,History Museum,Cocktail Bar,Japanese Restaurant,Restaurant,Hotel
36,2017,Brookville,Deli / Bodega,Park,Fried Chicken Joint,Bus Stop,Gym,Clothing Store,Grocery Store,Bakery,Caribbean Restaurant,Train Station,Fast Food Restaurant,Sandwich Place,Construction & Landscaping,Donut Shop,Laundromat,Lake,Design Studio,Intersection,Recording Studio,Bus Station
37,2017,Brownsville,Discount Store,Pizza Place,Supermarket,Fried Chicken Joint,Mobile Phone Shop,Sandwich Place,Donut Shop,Pharmacy,Shoe Store,Caribbean Restaurant,Fast Food Restaurant,Spanish Restaurant,Gas Station,Cosmetics Shop,Fish Market,Plaza,Seafood Restaurant,Chinese Restaurant,Grocery Store,Gym
38,2017,Bulls Head,Baseball Field,Pizza Place,Chinese Restaurant,Sandwich Place,Deli / Bodega,Pharmacy,Italian Restaurant,Scenic Lookout,Diner,Tex-Mex Restaurant,Bank,Baseball Stadium,Coffee Shop,Mattress Store,Park,Thai Restaurant,Tattoo Parlor,Liquor Store,Gift Shop,Smoke Shop
39,2017,Bushwick,Bar,Coffee Shop,Mexican Restaurant,Cocktail Bar,Pizza Place,Deli / Bodega,Grocery Store,Music Venue,Latin American Restaurant,Dive Bar,Record Shop,Pet Store,Italian Restaurant,Taco Place,Yoga Studio,Wine Shop,Bagel Shop,Theater,Comfort Food Restaurant,Cuban Restaurant
40,2017,Butler Manor,Pool,Baseball Field,State / Provincial Park,Grocery Store,Convenience Store,Deli / Bodega,Factory,Falafel Restaurant,Farm,Fish & Chips Shop,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Eye Doctor,Film Studio,Zoo Exhibit,Flea Market,Fish Market,Event Space
41,2017,Cambria Heights,Caribbean Restaurant,Pharmacy,Cosmetics Shop,Donut Shop,Bus Station,Fast Food Restaurant,Bus Stop,Moving Target,Gas Station,Nightclub,Fried Chicken Joint,Supermarket,Storage Facility,Juice Bar,Liquor Store,Park,Chinese Restaurant,Pizza Place,Playground,Dry Cleaner
42,2017,Canarsie,Caribbean Restaurant,Pizza Place,Bank,Video Game Store,Grocery Store,Pharmacy,Food,Fast Food Restaurant,Gym,Gym / Fitness Center,Mobile Phone Shop,Chinese Restaurant,Bakery,Bagel Shop,Shop & Service,Fried Chicken Joint,Diner,Donut Shop,Deli / Bodega,Ice Cream Shop
43,2017,Carnegie Hill,Coffee Shop,Café,Bakery,Gym / Fitness Center,Yoga Studio,Pizza Place,Gym,Art Museum,Bar,Cocktail Bar,Bookstore,Wine Shop,Italian Restaurant,Juice Bar,American Restaurant,Grocery Store,Indian Restaurant,Salon / Barbershop,French Restaurant,Japanese Restaurant
44,2017,Carroll Gardens,Coffee Shop,Italian Restaurant,Bakery,Bar,Pizza Place,Ice Cream Shop,Cocktail Bar,Yoga Studio,Spa,Wine Shop,Food & Drink Shop,Gift Shop,Thai Restaurant,Wine Bar,Gym / Fitness Center,Record Shop,Sports Bar,Music Venue,French Restaurant,Gaming Cafe
45,2017,Castle Hill,Bus Stop,Diner,Supermarket,Baseball Field,Mobile Phone Shop,Pharmacy,Automotive Shop,Trail,Market,Bank,Motel,Bus Station,Other Nightlife,Gym / Fitness Center,Grocery Store,Mexican Restaurant,Clothing Store,Shopping Mall,Park,Miscellaneous Shop
46,2017,Castleton Corners,Pizza Place,Donut Shop,Liquor Store,Chinese Restaurant,Bank,Pharmacy,Sandwich Place,Ice Cream Shop,Bagel Shop,Italian Restaurant,Diner,Deli / Bodega,Sushi Restaurant,Beer Garden,Bakery,Bar,Optical Shop,Mexican Restaurant,Mini Golf,Dessert Shop
47,2017,Central Harlem,Southern / Soul Food Restaurant,Café,African Restaurant,American Restaurant,French Restaurant,Bar,Seafood Restaurant,Cocktail Bar,Pizza Place,Lounge,Sushi Restaurant,Theater,Gym,Wine Shop,Yoga Studio,Caribbean Restaurant,Indian Restaurant,Mexican Restaurant,Boutique,Arts & Crafts Store
48,2017,Charleston,Italian Restaurant,Cosmetics Shop,Bakery,Pizza Place,Coffee Shop,Gym / Fitness Center,American Restaurant,Big Box Store,Recreation Center,Diner,Grocery Store,Café,Toll Plaza,Gift Shop,German Restaurant,Breakfast Spot,Supplement Shop,Music Venue,Burger Joint,Sporting Goods Shop
49,2017,Chelsea,Art Gallery,Coffee Shop,Park,Bakery,Hotel,Gym,Baseball Field,Bar,Gym / Fitness Center,Café,Italian Restaurant,Bagel Shop,American Restaurant,Deli / Bodega,Market,Clothing Store,New American Restaurant,Roof Deck,Ice Cream Shop,Recreation Center
50,2017,Chinatown,Ice Cream Shop,Chinese Restaurant,Bakery,Sandwich Place,Coffee Shop,Cocktail Bar,Wine Bar,Café,Salon / Barbershop,Mexican Restaurant,Vegetarian / Vegan Restaurant,Bar,Pizza Place,French Restaurant,Shoe Store,Spa,Hotel,Hotpot Restaurant,Thai Restaurant,Cosmetics Shop
51,2017,City Island,Seafood Restaurant,Harbor / Marina,Italian Restaurant,Boat or Ferry,American Restaurant,Grocery Store,Thrift / Vintage Store,Bar,Deli / Bodega,Park,Baseball Field,Bank,Pizza Place,Chinese Restaurant,Pharmacy,Japanese Restaurant,History Museum,Tapas Restaurant,Jewelry Store,Music Venue
